birthCity,birthCountryCode,birthDate,birthStateProvinceCode,currentTeamAbbrev,currentTeamName,draftOverall,draftRound,draftYear,firstSeasonForGameType,height,isInHallOfFameYn,lastName,nationalityCode,playerId,positionCode,shootsCatches,skaterFullName,weight
Rodovre,DNK,1989-05-08,,FLA,Florida Panthers,13.0,1.0,2007.0,20092010,74.0,N,Eller,DNK,8474189,C,L,Lars Eller,207.0
London,CAN,1989-12-08,ON,LAK,Los Angeles Kings,2.0,1.0,2008.0,20082009,73.0,N,Doughty,CAN,8474563,D,R,Drew Doughty,210.0
Markham,CAN,1990-02-07,ON,NSH,Nashville Predators,1.0,1.0,2008.0,20082009,73.0,N,Stamkos,CAN,8474564,C,R,Steven Stamkos,193.0
Massena,USA,1990-07-15,NY,MIN,Minnesota Wild,3.0,1.0,2008.0,20082009,75.0,N,Bogosian,USA,8474567,D,R,Zach Bogosian,231.0
Saskatoon,CAN,1989-11-02,SK,VAN,Vancouver Canucks,5.0,1.0,2008.0,20082009,74.0,N,Schenn,CAN,8474568,D,R,Luke Schenn,225.0
Houston,USA,1990-02-01,TX,DAL,Dallas Stars,12.0,1.0,2008.0,20092010,80.0,N,Myers,CAN,8474574,D,R,Tyler Myers,229.0
Landsbro,SWE,1990-05-31,,PIT,Pittsburgh Penguins,15.0,1.0,2008.0,20092010,72.0,N,Karlsson,SWE,8474578,D,R,Erik Karlsson,185.0
Regina,CAN,1990-05-15,SK,SEA,Seattle Kraken,22.0,1.0,2008.0,20102011,71.0,N,Eberle,CAN,8474586,R,R,Jordan Eberle,180.0
Natick,USA,1990-01-10,MA,TBL,Tampa Bay Lightning,27.0,1.0,2008.0,20092010,75.0,N,Carlson,USA,8474590,D,R,John Carlson,225.0
Bern,CHE,1990-06-01,,NSH,Nashville Predators,38.0,2.0,2008.0,20112012,73.0,N,Josi,CHE,8474600,D,L,Roman Josi,201.0
St. Malo,CAN,1990-08-16,MB,,,53.0,2.0,2008.0,20102011,73.0,N,Hamonic,CAN,8474612,D,R,Travis Hamonic,193.0
Brantford,CAN,1990-02-06,ON,,,82.0,3.0,2008.0,20102011,72.0,N,Henrique,CAN,8474641,C,L,Adam Henrique,195.0
Halmstad,SWE,1989-09-01,,,,121.0,4.0,2008.0,20112012,71.0,N,Nyquist,SWE,8474679,R,L,Gustav Nyquist,180.0
Edmonton,CAN,1989-11-29,AB,MIN,Minnesota Wild,156.0,6.0,2008.0,20102011,69.0,N,Spurgeon,CAN,8474716,D,R,Jared Spurgeon,166.0
Landskrona,SWE,1990-10-06,,,,24.0,1.0,2009.0,20102011,73.0,N,Johansson,SWE,8475149,L,L,Marcus Johansson,203.0
Smithtown,USA,1991-02-01,NY,NYI,New York Islanders,26.0,1.0,2009.0,20102011,72.0,N,Palmieri,USA,8475151,C,R,Kyle Palmieri,192.0
Clinton,CAN,1991-02-07,ON,NSH,Nashville Predators,33.0,2.0,2009.0,20092010,73.0,N,O'Reilly,CAN,8475158,C,L,Ryan O'Reilly,207.0
Mississauga,CAN,1990-09-20,ON,TOR,Toronto Maple Leafs,1.0,1.0,2009.0,20092010,73.0,N,Tavares,CAN,8475166,C,L,John Tavares,217.0
Ornskoldsvik,SWE,1990-12-18,,TBL,Tampa Bay Lightning,2.0,1.0,2009.0,20092010,79.0,N,Hedman,SWE,8475167,D,L,Victor Hedman,229.0
Haliburton,CAN,1991-01-16,ON,DAL,Dallas Stars,3.0,1.0,2009.0,20092010,71.0,N,Duchene,CAN,8475168,C,L,Matt Duchene,211.0
Vancouver,CAN,1991-08-02,BC,,,4.0,1.0,2009.0,20092010,74.0,N,Kane,CAN,8475169,L,L,Evander Kane,218.0
Saskatoon,CAN,1991-08-22,SK,NYI,New York Islanders,5.0,1.0,2009.0,20092010,73.0,N,Schenn,CAN,8475170,C,L,Brayden Schenn,200.0
Karlskrona,SWE,1991-07-17,,TOR,Toronto Maple Leafs,6.0,1.0,2009.0,20102011,74.0,N,Ekman-Larsson,SWE,8475171,D,L,Oliver Ekman-Larsson,190.0
London,CAN,1990-10-06,ON,COL,Colorado Avalanche,7.0,1.0,2009.0,20092010,72.0,N,Kadri,CAN,8475172,C,L,Nazem Kadri,185.0
Lipetsk,RUS,1990-10-29,,FLA,Florida Panthers,14.0,1.0,2009.0,20092010,73.0,N,Kulikov,RUS,8475179,D,L,Dmitry Kulikov,212.0
Eden Prairie,USA,1991-03-20,MN,,,16.0,1.0,2009.0,20102011,72.0,N,Leddy,USA,8475181,D,L,Nick Leddy,205.0
Boxford,USA,1991-04-30,MA,MTL,Montréal Canadiens,19.0,1.0,2009.0,20122013,75.0,N,Kreider,USA,8475184,L,L,Chris Kreider,232.0
Davidson,CAN,1991-01-21,SK,VGK,Vegas Golden Knights,66.0,3.0,2009.0,20112012,76.0,N,McNabb,CAN,8475188,D,L,Brayden McNabb,215.0
Mimico,CAN,1991-04-01,ON,,,69.0,3.0,2009.0,20112012,73.0,N,Smith,CAN,8475191,R,L,Reilly Smith,185.0
Novokuznetsk,RUS,1991-07-23,,SJS,San Jose Sharks,55.0,2.0,2009.0,20112012,71.0,N,Orlov,RUS,8475200,D,L,Dmitry Orlov,215.0
Biddeford,USA,1991-09-06,ME,LAK,Los Angeles Kings,51.0,2.0,2009.0,20132014,76.0,N,Dumoulin,USA,8475208,D,L,Brian Dumoulin,215.0
Borlange,SWE,1990-05-24,,EDM,Edmonton Oilers,102.0,4.0,2009.0,20112012,76.0,N,Ekholm,SWE,8475218,D,L,Mattias Ekholm,211.0
Buffalo,USA,1991-08-10,NY,MIN,Minnesota Wild,104.0,4.0,2009.0,20112012,75.0,N,Foligno,CAN,8475220,L,L,Marcus Foligno,226.0
Toronto,CAN,1991-02-27,ON,NYI,New York Islanders,92.0,4.0,2009.0,20112012,71.0,N,Cizikas,CAN,8475231,C,L,Casey Cizikas,191.0
LaSalle,CAN,1991-02-22,QC,CAR,Carolina Hurricanes,84.0,3.0,2009.0,20132014,73.0,N,Deslauriers,CAN,8475235,L,L,Nicolas Deslauriers,218.0
Barrie,CAN,1991-03-16,ON,,,107.0,4.0,2009.0,20132014,75.0,N,Wilson,CAN,8475253,L,L,Garrett Wilson,218.0
Hamilton,CAN,1991-05-09,ON,DET,Detroit Red Wings,120.0,4.0,2009.0,20132014,75.0,N,Chiarot,CAN,8475279,D,L,Ben Chiarot,224.0
Pori,FIN,1991-03-23,,LAK,Los Angeles Kings,182.0,7.0,2009.0,20132014,71.0,N,Haula,FIN,8475287,L,L,Erik Haula,191.0
Edina,USA,1990-07-03,MN,UTA,Utah Mammoth,152.0,6.0,2009.0,20122013,75.0,N,Lee,USA,8475314,L,L,Anders Lee,234.0
Rogers,USA,1990-09-21,MN,ANA,Anaheim Ducks,150.0,5.0,2009.0,20162017,72.0,N,Jensen,USA,8475324,D,R,Nick Jensen,202.0
Huntsville,USA,1990-05-27,AL,VGK,Vegas Golden Knights,198.0,7.0,2009.0,20152016,74.0,N,Dowd,USA,8475343,C,R,Nic Dowd,195.0
Calgary,CAN,1990-10-01,AB,NYR,New York Rangers,,,,20162017,71.0,N,Dowling,CAN,8475413,C,L,Justin Dowling,178.0
New Westminster,CAN,1990-11-13,BC,NJD,New Jersey Devils,,,,20112012,76.0,N,Dillon,CAN,8475455,D,L,Brenden Dillon,225.0
Kleinburg,CAN,1991-01-03,ON,,,,,,20142015,70.0,N,Agozzino,CAN,8475461,L,L,Andrew Agozzino,187.0
Prague,CZE,1990-06-05,,FLA,Florida Panthers,66.0,3.0,2010.0,20122013,72.0,N,Gudas,CZE,8475462,D,R,Radko Gudas,208.0
Toronto,CAN,1989-12-20,ON,TOR,Toronto Maple Leafs,,,,20102011,75.0,N,Tanev,CAN,8475690,D,R,Chris Tanev,200.0
Oslo,NOR,1987-09-01,,LAK,Los Angeles Kings,,,,20102011,68.0,N,Zuccarello Aasen,NOR,8475692,R,L,Mats Zuccarello Aasen,181.0
Gavle,SWE,1991-09-25,,,,51.0,2.0,2010.0,20132014,72.0,N,Jarnkrok,SWE,8475714,C,R,Calle Jarnkrok,193.0
Tonka Bay,USA,1992-01-30,MN,WSH,Washington Capitals,54.0,2.0,2010.0,20172018,76.0,N,Holl,USA,8475718,D,R,Justin Holl,194.0
Newport Beach,USA,1992-01-16,CA,BUF,Buffalo Sabres,59.0,2.0,2010.0,20112012,71.0,N,Zucker,USA,8475722,L,L,Jason Zucker,200.0
Scarborough,CAN,1992-04-24,ON,SJS,San Jose Sharks,47.0,2.0,2010.0,20122013,72.0,N,Toffoli,CAN,8475726,C,R,Tyler Toffoli,205.0
East Weymouth,USA,1992-03-02,MA,CBJ,Columbus Blue Jackets,28.0,1.0,2010.0,20122013,75.0,N,Coyle,USA,8475745,C,R,Charlie Coyle,221.0
Minneapolis,USA,1991-11-01,MN,MIN,Minnesota Wild,31.0,2.0,2010.0,20132014,74.0,N,Pitlick,USA,8475752,C,R,Tyler Pitlick,199.0
South St. Paul,USA,1992-03-20,MN,DET,Detroit Red Wings,37.0,2.0,2010.0,20112012,72.0,N,Faulk,USA,8475753,D,R,Justin Faulk,209.0
Warroad,USA,1991-10-15,MN,COL,Colorado Avalanche,30.0,1.0,2010.0,20132014,76.0,N,Nelson,USA,8475754,C,L,Brock Nelson,205.0
Edmonton,CAN,1992-03-03,AB,FLA,Florida Panthers,36.0,2.0,2010.0,20122013,77.0,N,Petrovic,CAN,8475755,D,R,Alexander Petrovic,215.0
Minneapolis,USA,1992-07-17,MN,NJD,New Jersey Devils,19.0,1.0,2010.0,20122013,78.0,N,Bjugstad,USA,8475760,C,R,Nick Bjugstad,210.0
Duluth,USA,1992-03-04,MN,,,15.0,1.0,2010.0,20152016,76.0,N,Forbort,USA,8475762,D,L,Derek Forbort,216.0
Dorchester,USA,1992-05-08,MA,,,24.0,1.0,2010.0,20142015,75.0,N,Hayes,USA,8475763,R,L,Kevin Hayes,217.0
Windsor,CAN,1991-12-05,ON,STL,St. Louis Blues,12.0,1.0,2010.0,20102011,74.0,N,Fowler,USA,8475764,D,L,Cam Fowler,213.0
Yaroslavl,RUS,1991-12-13,,,,16.0,1.0,2010.0,20122013,73.0,N,Tarasenko,RUS,8475765,R,L,Vladimir Tarasenko,219.0
Wilcox,CAN,1992-06-25,SK,COL,Colorado Avalanche,14.0,1.0,2010.0,20112012,70.0,N,Schwartz,CAN,8475768,L,L,Jaden Schwartz,185.0
Toronto,CAN,1992-05-16,ON,,,7.0,1.0,2010.0,20102011,71.0,N,Skinner,CAN,8475784,L,L,Jeff Skinner,200.0
Toronto,CAN,1992-06-09,ON,EDM,Edmonton Oilers,123.0,5.0,2010.0,20152016,73.0,N,Hyman,CAN,8475786,L,R,Zach Hyman,208.0
Ottawa,CAN,1992-01-07,ON,CBJ,Columbus Blue Jackets,3.0,1.0,2010.0,20112012,77.0,N,Gudbranson,CAN,8475790,D,R,Erik Gudbranson,222.0
Calgary,CAN,1991-11-14,AB,CAR,Carolina Hurricanes,1.0,1.0,2010.0,20102011,73.0,N,Hall,CAN,8475791,L,L,Taylor Hall,210.0
Brampton,CAN,1992-01-31,ON,DAL,Dallas Stars,2.0,1.0,2010.0,20102011,74.0,N,Seguin,CAN,8475794,C,R,Tyler Seguin,205.0
Winnipeg,CAN,1992-04-20,MB,WSH,Washington Capitals,10.0,1.0,2010.0,20132014,77.0,N,McIlrath,CAN,8475795,D,R,Dylan McIlrath,240.0
Oulu,FIN,1992-02-26,,ANA,Anaheim Ducks,9.0,1.0,2010.0,20122013,70.0,N,Granlund,FIN,8475798,C,L,Mikael Granlund,193.0
Chur,CHE,1992-09-08,,WPG,Winnipeg Jets,5.0,1.0,2010.0,20102011,74.0,N,Niederreiter,CHE,8475799,R,L,Nino Niederreiter,218.0
Pontiac,USA,1992-05-11,MI,PIT,Pittsburgh Penguins,80.0,3.0,2010.0,20142015,71.0,N,Rust,USA,8475810,R,R,Bryan Rust,206.0
Stouffville,CAN,1992-02-04,ON,BUF,Buffalo Sabres,144.0,5.0,2010.0,20142015,72.0,N,Carrick,CAN,8475842,C,R,Sam Carrick,209.0
Edmonton,CAN,1992-05-06,AB,VAN,Vancouver Canucks,147.0,5.0,2010.0,20122013,69.0,N,Gallagher,CAN,8475848,R,R,Brendan Gallagher,185.0
Kingsford,USA,1992-03-06,MI,,,148.0,5.0,2010.0,20152016,76.0,N,Gravel,USA,8475857,D,L,Kevin Gravel,205.0
Gothenburg,SWE,1992-08-14,,,,131.0,5.0,2010.0,20142015,74.0,N,Klingberg,SWE,8475906,D,R,John Klingberg,185.0
Winnipeg,CAN,1992-05-13,MB,VGK,Vegas Golden Knights,178.0,6.0,2010.0,20122013,75.0,N,Stone,CAN,8475913,R,R,Mark Stone,210.0
North Andover,USA,1993-03-28,MA,DAL,Dallas Stars,194.0,7.0,2011.0,20182019,68.0,N,Blackwell,USA,8476278,C,R,Colin Blackwell,181.0
Frydek-Mistek,CZE,1991-03-28,,NYI,New York Islanders,208.0,7.0,2011.0,20122013,72.0,N,Palat,CZE,8476292,L,L,Ondrej Palat,194.0
Hinsdale,USA,1991-10-07,IL,COL,Colorado Avalanche,160.0,6.0,2011.0,20142015,75.0,N,Manson,CAN,8476312,D,R,Josh Manson,218.0
London,CAN,1993-05-01,ON,WPG,Winnipeg Jets,179.0,6.0,2011.0,20152016,73.0,N,DeMelo,CAN,8476331,D,R,Dylan DeMelo,194.0
Eden Prairie,USA,1993-06-03,MN,PHI,Philadelphia Flyers,131.0,5.0,2011.0,20172018,75.0,N,Seeler,USA,8476372,D,L,Nick Seeler,197.0
Niagara Falls,USA,1993-01-20,NY,BOS,Boston Bruins,133.0,5.0,2011.0,20162017,74.0,N,Kuraly,USA,8476374,C,L,Sean Kuraly,208.0
Pittsburgh,USA,1993-07-11,PA,UTA,Utah Mammoth,64.0,3.0,2011.0,20132014,71.0,N,Trocheck,USA,8476389,C,R,Vincent Trocheck,187.0
Orland Park,USA,1992-02-25,IL,,,66.0,3.0,2011.0,20162017,68.0,N,Tynan,USA,8476391,C,R,T.J. Tynan,160.0
St. Louis,USA,1993-03-29,MO,WPG,Winnipeg Jets,67.0,3.0,2011.0,20142015,77.0,N,Lowry,USA,8476392,C,L,Adam Lowry,210.0
Belleville,CAN,1993-07-20,ON,OTT,Ottawa Senators,68.0,3.0,2011.0,20142015,71.0,N,Cousins,CAN,8476393,C,L,Nick Cousins,191.0
Plano,USA,1991-11-28,TX,MIN,Minnesota Wild,75.0,3.0,2011.0,20162017,71.0,N,Coleman,USA,8476399,L,L,Blake Coleman,199.0
Ottawa,CAN,1992-11-11,ON,NYI,New York Islanders,96.0,4.0,2011.0,20122013,71.0,N,Pageau,CAN,8476419,C,R,Jean-Gabriel Pageau,180.0
Glenview,USA,1993-07-13,IL,CAR,Carolina Hurricanes,98.0,4.0,2011.0,20152016,74.0,N,Reilly,USA,8476422,D,L,Mike Reilly,191.0
Burnsville,USA,1993-04-16,MN,,,101.0,4.0,2011.0,20162017,77.0,N,LaBate,USA,8476425,C,L,Joseph LaBate,225.0
St. Louis,USA,1992-10-14,MO,NYI,New York Islanders,34.0,2.0,2011.0,20132014,76.0,N,Mayfield,USA,8476429,D,R,Scott Mayfield,215.0
Dorchester,CAN,1993-06-15,ON,WSH,Washington Capitals,37.0,2.0,2011.0,20132014,74.0,N,Jenner,CAN,8476432,C,L,Boone Jenner,204.0
Pittsburgh,USA,1992-10-27,PA,,,43.0,2.0,2011.0,20112012,73.0,N,Saad,USA,8476438,L,L,Brandon Saad,207.0
Brandon,CAN,1993-06-28,MB,LAK,Los Angeles Kings,46.0,2.0,2011.0,20152016,77.0,N,Edmundson,CAN,8476441,D,L,Joel Edmundson,220.0
Marsta,SWE,1993-01-08,,VGK,Vegas Golden Knights,53.0,2.0,2011.0,20142015,72.0,N,Karlsson,SWE,8476448,C,L,William Karlsson,190.0
Maykop,RUS,1993-06-17,,TBL,Tampa Bay Lightning,58.0,2.0,2011.0,20132014,71.0,N,Kucherov,RUS,8476453,R,L,Nikita Kucherov,172.0
Burnaby,CAN,1993-04-12,BC,EDM,Edmonton Oilers,1.0,1.0,2011.0,20112012,72.0,N,Nugent-Hopkins,CAN,8476454,C,L,Ryan Nugent-Hopkins,190.0
Stockholm,SWE,1992-11-23,,COL,Colorado Avalanche,2.0,1.0,2011.0,20112012,73.0,N,Landeskog,SWE,8476455,L,L,Gabriel Landeskog,215.0
Saint-Jerome,CAN,1993-06-04,QC,CGY,Calgary Flames,3.0,1.0,2011.0,20122013,73.0,N,Huberdeau,CAN,8476456,L,L,Jonathan Huberdeau,200.0
Skelleftea,SWE,1992-11-12,,SEA,Seattle Kraken,4.0,1.0,2011.0,20112012,75.0,N,Larsson,SWE,8476457,D,R,Adam Larsson,207.0
Mississauga,CAN,1993-07-11,ON,CGY,Calgary Flames,5.0,1.0,2011.0,20132014,73.0,N,Strome,CAN,8476458,C,R,Ryan Strome,192.0
Stockholm,SWE,1993-04-18,,NYR,New York Rangers,6.0,1.0,2011.0,20112012,74.0,N,Zibanejad,SWE,8476459,C,R,Mika Zibanejad,208.0
Kitchener,CAN,1993-03-15,ON,WPG,Winnipeg Jets,7.0,1.0,2011.0,20112012,75.0,N,Scheifele,CAN,8476460,C,R,Mark Scheifele,207.0
Phoenix,USA,1992-12-07,AZ,PHI,Philadelphia Flyers,8.0,1.0,2011.0,20112012,76.0,N,Couturier,CAN,8476461,C,L,Sean Couturier,210.0
Toronto,CAN,1993-06-17,ON,NJD,New Jersey Devils,9.0,1.0,2011.0,20122013,78.0,N,Hamilton,CAN,8476462,D,R,Dougie Hamilton,230.0
Karlstad,SWE,1993-07-12,,MIN,Minnesota Wild,10.0,1.0,2011.0,20122013,74.0,N,Brodin,SWE,8476463,D,L,Jonas Brodin,196.0
Toronto,CAN,1992-12-21,ON,VAN,Vancouver Canucks,14.0,1.0,2011.0,20122013,79.0,N,Oleksiak,CAN,8476467,D,L,Jamieson Oleksiak,252.0
East Palestine,USA,1993-03-14,OH,NYR,New York Rangers,15.0,1.0,2011.0,20122013,72.0,N,Miller,USA,8476468,C,L,J.T. Miller,211.0
Pori,FIN,1993-05-31,,LAK,Los Angeles Kings,16.0,1.0,2011.0,20142015,75.0,N,Armia,FIN,8476469,R,R,Joel Armia,215.0
Boston,USA,1993-03-26,MA,EDM,Edmonton Oilers,20.0,1.0,2011.0,20132014,76.0,N,Murphy,USA,8476473,D,R,Connor Murphy,210.0
Plano,USA,1993-02-12,TX,NJD,New Jersey Devils,21.0,1.0,2011.0,20142015,73.0,N,Noesen,USA,8476474,R,R,Stefan Noesen,205.0
Victoriaville,CAN,1993-02-24,QC,MTL,Montréal Canadiens,26.0,1.0,2011.0,20142015,73.0,N,Danault,CAN,8476479,C,L,Phillip Danault,200.0
Zhukovskiy,RUS,1992-11-22,,WPG,Winnipeg Jets,27.0,1.0,2011.0,20132014,72.0,N,Namestnikov,RUS,8476480,C,L,Vladislav Namestnikov,181.0
Sundbyberg,SWE,1993-05-05,,PIT,Pittsburgh Penguins,30.0,1.0,2011.0,20122013,73.0,N,Rakell,SWE,8476483,R,R,Rickard Rakell,190.0
Sault Ste. Marie,CAN,1992-10-29,ON,,,151.0,5.0,2012.0,20152016,73.0,N,Miller,CAN,8476525,D,R,Colin Miller,200.0
Cap-Rouge,CAN,1990-12-27,QC,NSH,Nashville Predators,,,,20122013,69.0,N,Marchessault,CAN,8476539,R,R,Jonathan Marchessault,185.0
Toronto,CAN,1993-02-26,ON,SJS,San Jose Sharks,,,,20142015,74.0,N,Goodrow,CAN,8476624,C,L,Barclay Goodrow,210.0
Grand Rapids,USA,1989-04-28,MI,,,,,,20132014,71.0,N,Glendening,USA,8476822,C,R,Luke Glendening,190.0
Saint-Narcisse,CAN,1991-12-15,QC,TBL,Tampa Bay Lightning,,,,20152016,70.0,N,Gourde,CAN,8476826,C,L,Yanni Gourde,175.0
Vancouver,CAN,1994-03-09,BC,TOR,Toronto Maple Leafs,5.0,1.0,2012.0,20132014,73.0,N,Rielly,CAN,8476853,D,L,Morgan Rielly,219.0
Helsingborg,SWE,1994-01-20,,BOS,Boston Bruins,6.0,1.0,2012.0,20132014,76.0,N,Lindholm,SWE,8476854,D,L,Hampus Lindholm,217.0
Regina,CAN,1994-07-25,SK,,,7.0,1.0,2012.0,20132014,72.0,N,Dumba,CAN,8476856,D,R,Mathew Dumba,191.0
Sudbury,CAN,1994-03-25,ON,BOS,Boston Bruins,26.0,1.0,2012.0,20152016,74.0,N,Gaunce,CAN,8476867,C,L,Brendan Gaunce,222.0
Lakeville,USA,1994-03-26,MN,NSH,Nashville Predators,28.0,1.0,2012.0,20152016,75.0,N,Skjei,USA,8476869,D,L,Brady Skjei,210.0
Kitchener,CAN,1992-08-10,ON,,,30.0,1.0,2012.0,20132014,73.0,N,Pearson,CAN,8476871,L,L,Tanner Pearson,207.0
Oakville,CAN,1994-05-30,ON,LAK,Los Angeles Kings,20.0,1.0,2012.0,20122013,73.0,N,Laughton,CAN,8476872,C,L,Scott Laughton,190.0
Hamilton,CAN,1994-09-13,ON,CAR,Carolina Hurricanes,21.0,1.0,2012.0,20162017,76.0,N,Jankowski,CAN,8476873,L,L,Mark Jankowski,200.0
Jyväskylä,FIN,1994-08-22,,MIN,Minnesota Wild,22.0,1.0,2012.0,20132014,74.0,N,Maatta,FIN,8476874,D,L,Olli Maatta,207.0
Pointe-Claire,CAN,1994-02-27,QC,MTL,Montréal Canadiens,23.0,1.0,2012.0,20152016,74.0,N,Matheson,CAN,8476875,D,L,Mike Matheson,196.0
Riga,LVA,1994-01-05,,TBL,Tampa Bay Lightning,14.0,1.0,2012.0,20132014,75.0,N,Girgensons,LVA,8476878,C,L,Zemgus Girgensons,200.0
Ottawa,CAN,1993-12-21,ON,LAK,Los Angeles Kings,15.0,1.0,2012.0,20132014,75.0,N,Ceci,CAN,8476879,D,R,Cody Ceci,210.0
Toronto,CAN,1994-03-29,ON,WSH,Washington Capitals,16.0,1.0,2012.0,20132014,76.0,N,Wilson,CAN,8476880,R,R,Tom Wilson,225.0
Praha,CZE,1993-11-12,,VGK,Vegas Golden Knights,17.0,1.0,2012.0,20132014,75.0,N,Hertl,CZE,8476881,C,L,Tomas Hertl,223.0
Helsinki,FIN,1994-09-11,,CHI,Chicago Blackhawks,18.0,1.0,2012.0,20132014,71.0,N,Teravainen,FIN,8476882,C,L,Teuvo Teravainen,191.0
Rochester,USA,1994-02-26,MI,SJS,San Jose Sharks,9.0,1.0,2012.0,20132014,75.0,N,Trouba,USA,8476885,D,R,Jacob Trouba,212.0
Ostervala,SWE,1994-08-13,,NSH,Nashville Predators,11.0,1.0,2012.0,20122013,73.0,N,Forsberg,SWE,8476887,L,R,Filip Forsberg,205.0
Vitkov,CZE,1994-01-09,,DAL,Dallas Stars,13.0,1.0,2012.0,20152016,75.0,N,Faksa,CZE,8476889,C,L,Radek Faksa,216.0
Charlestown,USA,1994-01-05,MA,,,85.0,3.0,2012.0,20162017,70.0,N,Grzelcyk,USA,8476891,D,L,Matt Grzelcyk,180.0
St. Albert,CAN,1993-05-12,AB,STL,St. Louis Blues,86.0,3.0,2012.0,20152016,78.0,N,Parayko,CAN,8476892,D,R,Colton Parayko,228.0
Boden,SWE,1994-03-23,,STL,St. Louis Blues,81.0,3.0,2012.0,20152016,75.0,N,Sundqvist,SWE,8476897,C,R,Oskar Sundqvist,210.0
Vantaa,FIN,1994-05-23,,DAL,Dallas Stars,74.0,3.0,2012.0,20152016,75.0,N,Lindell,FIN,8476902,D,L,Esa Lindell,217.0
