assists,birthCity,birthCountryCode,birthDate,birthStateProvinceCode,currentTeamAbbrev,currentTeamName,draftOverall,draftRound,draftYear,firstSeasonForGameType,gamesPlayed,goals,height,isInHallOfFameYn,lastName,nationalityCode,playerId,points,positionCode,shootsCatches,skaterFullName,weight
0,Brantford,CAN,1885-06-11,ON,,,,,,19171918,6,0,72,N,Marks,CAN,8447616,0,L,L,Jack Marks,180
0,Naughton,CAN,1886-01-13,ON,,,,,,19171918,3,1,71,Y,Ross,CAN,8448456,1,D,L,Art Ross,190
10,Cornwall,CAN,1894-01-25,ON,,,,,,19171918,21,20,68,N,Denneny,CAN,8445873,30,C,R,Corb Denneny,160
5,Pembroke,CAN,1890-02-06,ON,,,,,,19171918,14,11,70,Y,Cameron,CAN,8445314,16,D,R,Harry Cameron,155
9,Ottawa,CAN,1890-02-22,ON,,,,,,19171918,18,4,69,Y,Gerard,CAN,8446581,13,L,L,Eddie Gerard,168
3,Penetanguishene,CAN,1894-02-09,ON,,,,,,19171918,16,2,71,N,Corbeau,CAN,8445571,5,D,R,Bert Corbeau,200
2,Quebec City,CAN,1890-02-28,QC,,,,,,19171918,8,7,70,Y,Malone,CAN,8447594,9,C,L,Joe Malone,150
0,Norwood,CAN,1887-08-15,ON,,,,,,19181919,2,0,68,N,Doherty,CAN,8445914,0,R,L,Fred Doherty,160
2,Staffordshire,GBR,1882-05-03,,,,,,,19171918,16,7,70,Y,Hall,GBR,8446669,9,D,R,Joe Hall,175
0,Ottawa,CAN,1889-02-09,ON,,,,,,19181919,11,0,66,N,Ronan,CAN,8448441,0,D,L,Skene Ronan,150
5,Toronto,CAN,1896-01-26,ON,,,,,,19171918,17,12,70,N,Skinner,CAN,8449049,17,R,R,Alf Skinner,180
4,Valleyfield,CAN,1883-09-01,QC,,,,,,19171918,17,14,71,Y,Pitre,CAN,8448154,18,R,R,Didier Pitre,185
0,Montréal,CAN,1884-03-09,QC,,,,,,19181919,1,0,68,N,Jacobs,CAN,8447037,0,D,L,Paul Jacobs,160
6,Kingston,CAN,1887-12-14,ON,,,,,,19171918,15,9,70,N,Randall,CAN,8448246,15,R,R,Ken Randall,180
9,Pembroke,CAN,1893-01-26,ON,,,,,,19171918,18,19,69,Y,Nighbor,CAN,8448011,28,C,R,Frank Nighbor,160
2,Ottawa,CAN,1896-08-19,ON,,,,,,19171918,17,3,69,Y,Boucher,CAN,8445135,5,D,L,George Boucher,169
6,Montréal,CAN,1891-09-19,QC,,,,,,19181919,18,21,69,N,Cleghorn,CAN,8445496,27,R,R,Odie Cleghorn,195
4,Ottawa,CAN,1890-12-04,ON,,,,,,19171918,14,11,70,Y,Darragh,CAN,8445844,15,R,R,Jack Darragh,168
0,Lachine,CAN,1891-06-10,QC,,,,,,19171918,1,0,70,N,Bell,CAN,8445044,0,C,R,Billy Bell,180
0,Montréal,CAN,1892-01-12,QC,,,,,,19171918,4,0,67,N,Ritchie,CAN,8448336,0,D,R,Dave Ritchie,180
4,Collingwood,CAN,1896-06-23,ON,,,,,,19171918,17,10,68,Y,Noble,CAN,8448013,14,C,L,Reg Noble,180
4,Papineau,CAN,1887-05-26,QC,,,,,,19171918,18,5,71,N,Berlinquette,CAN,8445071,9,L,L,Louis Berlinquette,175
9,Cornwall,CAN,1888-10-31,ON,,,,,,19171918,17,23,69,Y,Lalonde,CAN,8447289,32,C,R,Newsy Lalonde,168
8,Montréal,CAN,1890-03-11,QC,,,,,,19181919,18,7,70,Y,Cleghorn,CAN,8445497,15,D,L,Sprague Cleghorn,190
2,North Bay,CAN,1892-03-01,ON,,,,,,19171918,16,1,71,N,Coutu,CAN,8445744,3,D,L,Billy Coutu,190
4,Quebec City,CAN,1887-02-28,QC,,,,,,19171918,18,8,70,N,McDonald,CAN,8447761,12,L,R,Jack McDonald,154
0,Waubaushene,CAN,1895-01-26,ON,,,,,,19181919,1,0,68,N,Arbour,CAN,8444956,0,L,L,Amos Arbour,160
1,Manotick,CAN,1891-08-13,ON,,,,,,19171918,10,0,66,N,Lowrey,CAN,8447522,1,C,R,Ed Lowrey,160
0,Chicago,USA,1889-08-25,IL,,,,,,19171918,13,2,71,N,Mummery,USA,8447907,2,D,L,Harry Mummery,220
4,Berlin,CAN,1894-11-04,ON,,,,,,19171918,14,7,67,N,Meeking,CAN,8447832,11,L,L,Harry Meeking,160
3,Cornwall,CAN,1894-01-25,ON,,,,,,19171918,16,8,68,N,Denneny,CAN,8445873,11,C,R,Corb Denneny,160
3,Fort William,CAN,1895-06-14,ON,,,,,,19171918,17,3,69,Y,Adams,CAN,8444861,6,C,R,Jack Adams,175
6,Farran's Point,CAN,1891-12-23,ON,,,,,,19171918,18,18,67,Y,Denneny,CAN,8445874,24,L,L,Cy Denneny,168
3,Ottawa,CAN,1892-07-13,ON,,,,,,19181919,8,4,67,Y,Broadbent,CAN,8445168,7,R,R,Punch Broadbent,183
4,Cardinal,CAN,1885-11-07,ON,,,,,,19171918,18,7,71,Y,Crawford,CAN,8445802,11,L,L,Rusty Crawford,165
6,Pembroke,CAN,1890-02-06,ON,,,,,,19171918,23,15,70,Y,Cameron,CAN,8445314,21,D,R,Harry Cameron,155
8,Ottawa,CAN,1890-02-22,ON,,,,,,19171918,22,9,69,Y,Gerard,CAN,8446581,17,L,L,Eddie Gerard,168
2,Hamilton,CAN,1898-05-13,ON,,,,,,19191920,23,11,68,Y,Dye,CAN,8445972,13,R,R,Babe Dye,150
12,Valleyfield,CAN,1883-09-01,QC,,,,,,19171918,22,14,71,Y,Pitre,CAN,8448154,26,R,R,Didier Pitre,185
3,Penetanguishene,CAN,1894-02-09,ON,,,,,,19171918,23,11,71,N,Corbeau,CAN,8445571,14,D,R,Bert Corbeau,200
2,Glace Bay,CAN,1895-05-01,NS,,,,,,19191920,21,11,66,N,Roach,CAN,8448349,13,C,L,Mickey Roach,158
10,Quebec City,CAN,1890-02-28,QC,,,,,,19171918,24,39,70,Y,Malone,CAN,8447594,49,C,L,Joe Malone,150
6,Hamilton,CAN,1893-04-12,ON,,,,,,19191920,12,12,71,N,McCarthy,CAN,8447674,18,R,R,Thomas McCarthy,165
7,Winnipeg,CAN,1892-06-05,MB,,,,,,19191920,23,20,68,N,Wilson,CAN,8449551,27,R,R,Cully Wilson,180
0,Gaspe,CAN,1897-04-04,QC,,,,,,19191920,1,0,69,N,McNaughton,CAN,8447816,0,R,R,George McNaughton,150
8,Glasgow,GBR,1892-11-04,,,,,,,19191920,20,11,66,N,Carey,GBR,8445326,19,R,R,George Carey,140
3,Bourget,CAN,1893-03-06,ON,,,,,,19191920,17,8,71,N,Matte,CAN,8447637,11,D,R,Joe Matte,165
8,Kingston,CAN,1887-12-14,ON,,,,,,19171918,22,10,70,N,Randall,CAN,8448246,18,R,R,Ken Randall,180
0,Lakeville Corner,CAN,1893-03-16,NB,,,,,,19191920,8,0,74,N,McLean,CAN,8447796,0,D,L,Fred McLean,200
1,Ottawa,CAN,1896-04-12,ON,,,,,,19191920,23,2,67,N,MacKell,CAN,8447791,3,R,R,Jack MacKell,150
16,Pembroke,CAN,1893-01-26,ON,,,,,,19171918,23,26,69,Y,Nighbor,CAN,8448011,42,C,R,Frank Nighbor,160
7,Ottawa,CAN,1896-08-19,ON,,,,,,19171918,22,9,69,Y,Boucher,CAN,8445135,16,D,L,George Boucher,169
0,Ottawa,CAN,1885-11-30,ON,,,,,,19171918,5,0,69,N,Merrill,CAN,8447848,0,D,L,Horace Merrill,176
4,Montréal,CAN,1891-09-19,QC,,,,,,19181919,21,20,69,N,Cleghorn,CAN,8445496,24,R,R,Odie Cleghorn,195
7,Quebec City,CAN,1887-02-28,QC,,,,,,19171918,24,6,70,N,McDonald,CAN,8447761,13,L,R,Jack McDonald,154
6,Farran's Point,CAN,1891-12-23,ON,,,,,,19171918,24,16,67,Y,Denneny,CAN,8445874,22,L,L,Cy Denneny,168
4,Waubaushene,CAN,1895-01-26,ON,,,,,,19181919,22,21,68,N,Arbour,CAN,8444956,25,L,L,Amos Arbour,160
0,Cornwall,CAN,1888-06-03,ON,,,,,,19191920,12,1,67,N,Smith,CAN,8449072,1,L,L,Don Smith,160
1,Peterborough,CAN,1892-01-12,ON,,,,,,19191920,19,0,72,N,Heffernan,CAN,8446761,1,D,L,Frank Heffernan,210
14,Ottawa,CAN,1890-12-04,ON,,,,,,19171918,23,23,70,Y,Darragh,CAN,8445844,37,R,R,Jack Darragh,168
4,Hartford,USA,1890-06-15,MI,,,,,,19191920,24,8,72,N,Carpenter,USA,8445330,12,D,R,Ed Carpenter,170
6,Ottawa,CAN,1892-07-13,ON,,,,,,19181919,21,19,67,Y,Broadbent,CAN,8445168,25,R,R,Punch Broadbent,183
9,Chicago,USA,1889-08-25,IL,,,,,,19171918,24,9,71,N,Mummery,USA,8447907,18,D,L,Harry Mummery,220
3,Montréal,CAN,1892-01-12,QC,,,,,,19171918,23,6,67,N,Ritchie,CAN,8448336,9,D,R,Dave Ritchie,180
7,Collingwood,CAN,1896-06-23,ON,,,,,,19171918,24,24,68,Y,Noble,CAN,8448013,31,C,L,Reg Noble,180
0,Douro,CAN,1892-06-06,ON,,,,,,19171918,12,0,70,N,Coughlin,CAN,8445740,0,R,R,Jack Coughlin,170
8,Papineau,CAN,1887-05-26,QC,,,,,,19171918,24,8,71,N,Berlinquette,CAN,8445071,16,L,L,Louis Berlinquette,175
10,Cornwall,CAN,1888-10-31,ON,,,,,,19171918,23,37,69,Y,Lalonde,CAN,8447289,47,C,R,Newsy Lalonde,168
1,Ottawa,CAN,1886-09-27,ON,,,,,,19191920,10,0,66,Y,Smith,CAN,8449087,1,C,L,Tommy Smith,150
0,Randolph,CAN,1893-08-03,ON,,,,,,19191920,10,1,72,N,McNamara,CAN,8447815,1,D,L,Howard McNamara,240
0,Brantford,CAN,1885-06-11,ON,,,,,,19171918,1,0,72,N,Marks,CAN,8447616,0,L,L,Jack Marks,180
0,Port Arthur,CAN,1893-08-04,ON,,,,,,19191920,1,0,0,N,Wellington,CAN,8449382,0,R,R,Alex Wellington,0
6,London,CAN,1891-10-18,ON,,,,,,19191920,16,8,70,N,Prodgers,CAN,8448212,14,C,R,Goldie Prodgers,180
12,Cornwall,CAN,1894-01-25,ON,,,,,,19171918,24,24,68,N,Denneny,CAN,8445873,36,C,R,Corb Denneny,160
5,Montréal,CAN,1890-03-11,QC,,,,,,19181919,21,16,70,Y,Cleghorn,CAN,8445497,21,D,L,Sprague Cleghorn,190
0,North Gower,CAN,1894-03-07,ON,,,,,,19171918,21,1,69,N,Bruce,CAN,8445191,1,D,R,Morley Bruce,170
0,North Bay,CAN,1892-03-01,ON,,,,,,19171918,20,4,71,N,Coutu,CAN,8445744,4,D,L,Billy Coutu,190
1,Sackville,CAN,1900-02-01,NB,,,,,,19201921,19,2,71,N,Stuart,CAN,8449199,3,D,L,Billy Stuart,190
9,Pembroke,CAN,1890-02-06,ON,,,,,,19171918,24,18,70,Y,Cameron,CAN,8445314,27,D,R,Harry Cameron,155
4,Ottawa,CAN,1890-02-22,ON,,,,,,19171918,24,11,69,Y,Gerard,CAN,8446581,15,L,L,Eddie Gerard,168
5,Hamilton,CAN,1898-05-13,ON,,,,,,19191920,24,35,68,Y,Dye,CAN,8445972,40,R,R,Babe Dye,150
5,Valleyfield,CAN,1883-09-01,QC,,,,,,19171918,23,16,71,Y,Pitre,CAN,8448154,21,R,R,Didier Pitre,185
2,Penetanguishene,CAN,1894-02-09,ON,,,,,,19171918,24,11,71,N,Corbeau,CAN,8445571,13,D,R,Bert Corbeau,200
9,Glace Bay,CAN,1895-05-01,NS,,,,,,19191920,23,10,66,N,Roach,CAN,8448349,19,C,L,Mickey Roach,158
9,Quebec City,CAN,1890-02-28,QC,,,,,,19171918,20,28,70,Y,Malone,CAN,8447594,37,C,L,Joe Malone,150
1,Hamilton,CAN,1893-04-12,ON,,,,,,19191920,23,10,71,N,McCarthy,CAN,8447674,11,R,R,Thomas McCarthy,165
3,Winnipeg,CAN,1892-06-05,MB,,,,,,19191920,19,8,68,N,Wilson,CAN,8449551,11,R,R,Cully Wilson,180
1,Glasgow,GBR,1892-11-04,,,,,,,19191920,20,6,66,N,Carey,GBR,8445326,7,R,R,George Carey,140
9,Bourget,CAN,1893-03-06,ON,,,,,,19191920,21,6,71,N,Matte,CAN,8447637,15,D,R,Joe Matte,165
5,Kingston,CAN,1887-12-14,ON,,,,,,19171918,22,6,70,N,Randall,CAN,8448246,11,R,R,Ken Randall,180
1,Ottawa,CAN,1896-04-12,ON,,,,,,19191920,22,2,67,N,MacKell,CAN,8447791,3,R,R,Jack MacKell,150
10,Pembroke,CAN,1893-01-26,ON,,,,,,19171918,24,19,69,Y,Nighbor,CAN,8448011,29,C,R,Frank Nighbor,160
7,Ottawa,CAN,1896-08-19,ON,,,,,,19171918,23,11,69,Y,Boucher,CAN,8445135,18,D,L,George Boucher,169
0,Lachute,CAN,1896-04-27,QC,,,,,,19201921,2,0,72,N,Campbell,CAN,8445317,0,D,L,Dave Campbell,200
5,Montréal,CAN,1891-09-19,QC,,,,,,19181919,21,6,69,N,Cleghorn,CAN,8445496,11,R,R,Odie Cleghorn,195
1,Quebec City,CAN,1887-02-28,QC,,,,,,19171918,12,0,70,N,McDonald,CAN,8447761,1,L,R,Jack McDonald,154
7,Farran's Point,CAN,1891-12-23,ON,,,,,,19171918,24,34,67,Y,Denneny,CAN,8445874,41,L,L,Cy Denneny,168
3,Waubaushene,CAN,1895-01-26,ON,,,,,,19181919,24,15,68,N,Arbour,CAN,8444956,18,L,L,Amos Arbour,160
14,Ottawa,CAN,1890-12-04,ON,,,,,,19171918,24,11,70,Y,Darragh,CAN,8445844,25,R,R,Jack Darragh,168
1,Hartford,USA,1890-06-15,MI,,,,,,19191920,21,2,72,N,Carpenter,USA,8445330,3,D,R,Ed Carpenter,170
1,Ottawa,CAN,1892-07-13,ON,,,,,,19181919,9,4,67,Y,Broadbent,CAN,8445168,5,R,R,Punch Broadbent,183
0,Lachine,CAN,1891-06-10,QC,,,,,,19171918,4,0,70,N,Bell,CAN,8445044,0,C,R,Billy Bell,180
6,Chicago,USA,1889-08-25,IL,,,,,,19171918,24,14,71,N,Mummery,USA,8447907,20,D,L,Harry Mummery,220
0,Montréal,CAN,1892-01-12,QC,,,,,,19171918,6,0,67,N,Ritchie,CAN,8448336,0,D,R,Dave Ritchie,180
8,Collingwood,CAN,1896-06-23,ON,,,,,,19171918,24,19,68,Y,Noble,CAN,8448013,27,C,L,Reg Noble,180
2,Stony Mountain,CAN,1889-08-27,MB,,,,,,19201921,22,1,69,N,McDonnell,CAN,8447765,3,D,R,Moylan McDonnell,145
0,Ottawa,CAN,1894-10-10,ON,,,,,,19201921,14,0,69,N,Graham,CAN,8446629,0,L,L,Leth Graham,150
9,Papineau,CAN,1887-05-26,QC,,,,,,19171918,24,11,71,N,Berlinquette,CAN,8445071,20,L,L,Louis Berlinquette,175
10,Cornwall,CAN,1888-10-31,ON,,,,,,19171918,24,33,69,Y,Lalonde,CAN,8447289,43,C,R,Newsy Lalonde,168
1,North Gower,CAN,1894-03-07,ON,,,,,,19171918,21,3,69,N,Bruce,CAN,8445191,4,D,R,Morley Bruce,170
4,North Bay,CAN,1892-03-01,ON,,,,,,19171918,24,8,71,N,Coutu,CAN,8445744,12,D,L,Billy Coutu,190
0,Pembroke,CAN,1892-06-01,ON,,,,,,19201921,6,2,71,N,Reise Sr.,CAN,8448315,2,D,R,Leo Reise Sr.,175
1,Toronto,CAN,1895-09-28,ON,,,,,,19201921,23,2,70,N,Smylie,CAN,8449090,3,L,R,Rod Smylie,170
9,London,CAN,1891-10-18,ON,,,,,,19191920,24,18,70,N,Prodgers,CAN,8448212,27,C,R,Goldie Prodgers,180
7,Cornwall,CAN,1894-01-25,ON,,,,,,19171918,20,19,68,N,Denneny,CAN,8445873,26,C,R,Corb Denneny,160
8,Montréal,CAN,1890-03-11,QC,,,,,,19181919,16,5,70,Y,Cleghorn,CAN,8445497,13,D,L,Sprague Cleghorn,190
7,Sackville,CAN,1900-02-01,NB,,,,,,19201921,24,3,71,N,Stuart,CAN,8449199,10,D,L,Billy Stuart,190
0,St. Lambert,CAN,1893-02-15,ON,,,,,,19171918,4,0,71,N,Stevens,CAN,8449181,0,C,R,Phil Stevens,165
17,Pembroke,CAN,1890-02-06,ON,,,,,,19171918,24,18,70,Y,Cameron,CAN,8445314,35,D,R,Harry Cameron,155
11,Ottawa,CAN,1890-02-22,ON,,,,,,19171918,21,7,69,Y,Gerard,CAN,8446581,18,L,L,Eddie Gerard,168
7,Hamilton,CAN,1898-05-13,ON,,,,,,19191920,24,31,68,Y,Dye,CAN,8445972,38,R,R,Babe Dye,150
4,Valleyfield,CAN,1883-09-01,QC,,,,,,19171918,23,2,71,Y,Pitre,CAN,8448154,6,R,R,Didier Pitre,185
7,Penetanguishene,CAN,1894-02-09,ON,,,,,,19171918,22,3,71,N,Corbeau,CAN,8445571,10,D,R,Bert Corbeau,200
2,Ottawa,CAN,1901-10-07,ON,,,,,,19211922,24,8,69,Y,Boucher,CAN,8445134,10,C,L,Frank Boucher,185
6,Glace Bay,CAN,1895-05-01,NS,,,,,,19191920,24,14,66,N,Roach,CAN,8448349,20,C,L,Mickey Roach,158
0,Parrsboro,CAN,1898-08-27,NS,,,,,,19211922,1,0,72,N,Jackson,CAN,8447035,0,L,L,Stan Jackson,180
7,Quebec City,CAN,1890-02-28,QC,,,,,,19171918,24,24,70,Y,Malone,CAN,8447594,31,C,L,Joe Malone,150
9,Winnipeg,CAN,1892-06-05,MB,,,,,,19191920,23,7,68,N,Wilson,CAN,8449551,16,R,R,Cully Wilson,180
5,St-Etienne,CAN,1892-05-24,QC,,,,,,19211922,18,1,70,N,Bouchard,CAN,8445131,6,L,L,Edmond Bouchard,185
2,Glasgow,GBR,1892-11-04,,,,,,,19191920,23,3,66,N,Carey,GBR,8445326,5,R,R,George Carey,140
3,Bourget,CAN,1893-03-06,ON,,,,,,19191920,21,3,71,N,Matte,CAN,8447637,6,D,R,Joe Matte,165
6,Kingston,CAN,1887-12-14,ON,,,,,,19171918,24,10,70,N,Randall,CAN,8448246,16,R,R,Ken Randall,180
10,Pembroke,CAN,1893-01-26,ON,,,,,,19171918,20,8,69,Y,Nighbor,CAN,8448011,18,C,R,Frank Nighbor,160
12,Ottawa,CAN,1896-08-19,ON,,,,,,19171918,23,13,69,Y,Boucher,CAN,8445135,25,D,L,George Boucher,169
0,Meaford,CAN,1895-04-25,ON,,,,,,19211922,9,0,68,N,Smith,CAN,8449075,0,D,L,Glenn Smith,180
3,Montréal,CAN,1891-09-19,QC,,,,,,19181919,24,21,69,N,Cleghorn,CAN,8445496,24,R,R,Odie Cleghorn,195
0,Quebec City,CAN,1887-02-28,QC,,,,,,19171918,3,0,70,N,McDonald,CAN,8447761,0,L,R,Jack McDonald,154
0,Tillsonburg,CAN,1894-11-04,ON,,,,,,19211922,11,0,0,N,Andrews,CAN,8444936,0,L,L,Lloyd Andrews,0
12,Farran's Point,CAN,1891-12-23,ON,,,,,,19171918,22,28,67,Y,Denneny,CAN,8445874,40,L,L,Cy Denneny,168
6,Waubaushene,CAN,1895-01-26,ON,,,,,,19181919,23,9,68,N,Arbour,CAN,8444956,15,L,L,Amos Arbour,160
14,Ottawa,CAN,1892-07-13,ON,,,,,,19181919,24,31,67,Y,Broadbent,CAN,8445168,45,R,R,Punch Broadbent,183
2,Lachine,CAN,1891-06-10,QC,,,,,,19171918,23,2,70,N,Bell,CAN,8445044,4,C,R,Billy Bell,180
2,Chicago,USA,1889-08-25,IL,,,,,,19171918,20,4,71,N,Mummery,USA,8447907,6,D,L,Harry Mummery,220
11,Collingwood,CAN,1896-06-23,ON,,,,,,19171918,24,17,68,Y,Noble,CAN,8448013,28,C,L,Reg Noble,180
5,Ottawa,CAN,1899-11-10,ON,,,,,,19211922,24,17,67,N,Boucher,CAN,8445133,22,R,R,Billy Boucher,155
0,Wolfville,CAN,1894-11-02,NS,,,,,,19211922,13,0,73,N,Stackhouse,CAN,8449145,0,D,R,Ted Stackhouse,200
0,Ottawa,CAN,1894-10-10,ON,,,,,,19201921,1,2,69,N,Graham,CAN,8446629,2,L,L,Leth Graham,150
5,Papineau,CAN,1887-05-26,QC,,,,,,19171918,24,13,71,N,Berlinquette,CAN,8445071,18,L,L,Louis Berlinquette,175
6,Cornwall,CAN,1888-10-31,ON,,,,,,19171918,20,9,69,Y,Lalonde,CAN,8447289,15,C,R,Newsy Lalonde,168
1,North Gower,CAN,1894-03-07,ON,,,,,,19171918,22,4,69,N,Bruce,CAN,8445191,5,D,R,Morley Bruce,170
3,North Bay,CAN,1892-03-01,ON,,,,,,19171918,24,4,71,N,Coutu,CAN,8445744,7,D,L,Billy Coutu,190
6,Ottawa,CAN,1903-02-25,ON,,,,,,19211922,24,4,67,Y,Clancy,CAN,8445471,10,D,L,King Clancy,155
14,Pembroke,CAN,1892-06-01,ON,,,,,,19201921,24,9,71,N,Reise Sr.,CAN,8448315,23,D,R,Leo Reise Sr.,175
0,Toronto,CAN,1895-09-28,ON,,,,,,19201921,20,0,70,N,Smylie,CAN,8449090,0,L,R,Rod Smylie,170
0,Charlottetown,CAN,1897-12-01,PE,,,,,,19211922,2,0,68,N,Nolan,CAN,8448030,0,L,L,Paddy Nolan,170
7,London,CAN,1891-10-18,ON,,,,,,19191920,24,15,70,N,Prodgers,CAN,8448212,22,C,R,Goldie Prodgers,180
9,Cornwall,CAN,1894-01-25,ON,,,,,,19171918,24,19,68,N,Denneny,CAN,8445873,28,C,R,Corb Denneny,160
9,Montréal,CAN,1890-03-11,QC,,,,,,19181919,24,17,70,Y,Cleghorn,CAN,8445497,26,D,L,Sprague Cleghorn,190
3,Sackville,CAN,1900-02-01,NB,,,,,,19201921,23,7,71,N,Stuart,CAN,8449199,10,D,L,Billy Stuart,190
7,Pembroke,CAN,1890-02-06,ON,,,,,,19171918,23,9,70,Y,Cameron,CAN,8445314,16,D,R,Harry Cameron,155
10,Ottawa,CAN,1901-08-29,ON,,,,,,19221923,24,13,67,Y,Joliat,CAN,8447110,23,L,L,Aurel Joliat,136
11,Ottawa,CAN,1890-02-22,ON,,,,,,19171918,23,6,69,Y,Gerard,CAN,8446581,17,L,L,Eddie Gerard,168
12,Hamilton,CAN,1898-05-13,ON,,,,,,19191920,22,27,68,Y,Dye,CAN,8445972,39,R,R,Babe Dye,150
2,Valleyfield,CAN,1883-09-01,QC,,,,,,19171918,22,1,71,Y,Pitre,CAN,8448154,3,R,R,Didier Pitre,185
